Publication,Date,#Order,Title,URL,,
Architectural Digest,3/28/22,1,14 Outdoor Products Designers Swear By,https://www.architecturaldigest.com/story/14-outdoor-products-designers-swear-by,,
Domino,4/1/22,2,What Comes After Slatted Wood? We Asked 5 Designers,https://www.domino.com/content/tambour-wood-trend-what-comes-next/,,
Apartment Therapy,4/12/22,3,5 Unexpected Living Room Colors You’ll See Everywhere This Year,https://www.apartmenttherapy.com/unexpected-living-room-colors-2022-37063371,,
Elle Decor,4/19/22,4,"65+ BEST KITCHEN PAINT COLORS, ACCORDING TO TOP INTERIOR DESIGNERS",https://www.elledecor.com/design-decorate/color/tips/g3027/best-kitchen-paint-colors/,,
Yahoo,5/12/22,5,This 500-Square-Foot Los Angeles Garage Became a “Moroccan Industrial” Studio,https://www.elledecor.com/design-decorate/color/tips/g3027/best-kitchen-paint-colors/,,
Clever/AD,5/12/22,6,This 500-Square-Foot Los Angeles Garage Became a “Moroccan Industrial” Studio,https://www.architecturaldigest.com/story/this-500-square-foot-los-angeles-garage-became-a-moroccan-industrial-studio,,
The Spruce,6/1/22,7,What Color Rug Goes With a Brown Couch?,https://www.thespruce.com/what-color-rug-with-brown-couch-5271481,,
Domino,6/4/22,8,"The Five Best Body Pillows for Snuggling Up With, According to Domino Editors",https://www.domino.com/content/best-body-pillows/,,
Hunker,6/21/22,9,15 Colors That Go With Hunter Green,https://www.hunker.com/13772891/colors-that-go-with-hunter-green,,
Wall Street Journal,7/7/22,10,Can Wallpaper Borders Escape Their Dated ’80s Reputation?,https://www.wsj.com/articles/wallpaper-borders-design-advice-11657167602,,
Apartment Therapy,7/10/22,11,https://www.apartmenttherapy.com/in-defense-of-playful-design-37091579,https://www.apartmenttherapy.com/in-defense-of-playful-design-37091579,,
Coveteur,7/26/22,12,Interior Designer-Approved Outdoor Decor That's Sure to Spruce Up Your Backyard,https://coveteur.com/best-outdoor-decor,,
The Spruce,8/3/22,13,8 Mistakes You're Making When Decorating in a Modern Style,https://www.thespruce.com/modern-style-decorating-mistakes-5525418,,
Angeleno,8/15/22,14,https://mlangeleno.com/los-angeles-summer-2022-events-parties-new-restaurants,https://mlangeleno.com/los-angeles-summer-2022-events-parties-new-restaurants,,
Hunker,8/22/22,15,https://www.hunker.com/13411226/what-colors-match-pink,https://www.architecturaldigest.com/story/14-outdoor-products-designers-swear-by,,
